symbol,timeframe,bar_time,open,high,low,close
EURUSD,H1,2025-03-18T06:00:00Z,1.09087,1.09111,1.09063,1.09084
EURUSD,H1,2025-03-18T07:00:00Z,1.09084,1.09116,1.0908,1.0911
EURUSD,H1,2025-03-18T08:00:00Z,1.0911,1.09134,1.09074,1.09079
EURUSD,H1,2025-03-18T09:00:00Z,1.09079,1.09214,1.09036,1.09208
EURUSD,H1,2025-03-18T10:00:00Z,1.09208,1.09366,1.09163,1.09351
EURUSD,H1,2025-03-18T11:00:00Z,1.09351,1.09547,1.09329,1.09515
EURUSD,H1,2025-03-18T12:00:00Z,1.09517,1.09532,1.09396,1.09504
EURUSD,H1,2025-03-18T13:00:00Z,1.09505,1.09525,1.09317,1.09342
EURUSD,H1,2025-03-18T14:00:00Z,1.09342,1.09373,1.09141,1.09164
EURUSD,H1,2025-03-18T15:00:00Z,1.09164,1.09239,1.08925,1.09116
EURUSD,H1,2025-03-18T16:00:00Z,1.09116,1.09209,1.09016,1.09126
EURUSD,H1,2025-03-18T17:00:00Z,1.09126,1.09196,1.09071,1.09167
EURUSD,H1,2025-03-18T18:00:00Z,1.09167,1.09342,1.08968,1.09266
EURUSD,H1,2025-03-18T19:00:00Z,1.09266,1.09401,1.09236,1.09387
EURUSD,H1,2025-03-18T20:00:00Z,1.09387,1.09519,1.09387,1.095
EURUSD,H1,2025-03-18T21:00:00Z,1.0950199999999999,1.09514,1.09408,1.0944
EURUSD,H1,2025-03-18T22:00:00Z,1.09442,1.09498,1.09416,1.09464
EURUSD,H1,2025-03-18T23:00:00Z,1.09464,1.09489,1.09429,1.09447
EURUSD,H1,2025-03-19T00:00:00Z,1.09439,1.09457,1.09404,1.09437
EURUSD,H1,2025-03-19T01:00:00Z,1.09437,1.09461,1.09405,1.09422
EURUSD,H1,2025-03-19T02:00:00Z,1.09422,1.09439,1.09377,1.09386
EURUSD,H1,2025-03-19T03:00:00Z,1.09386,1.09389,1.0931899999999999,1.09347
EURUSD,H1,2025-03-19T04:00:00Z,1.09347,1.09374,1.09337,1.09372
EURUSD,H1,2025-03-19T05:00:00Z,1.09372,1.09452,1.09358,1.0941
EURUSD,H1,2025-03-19T06:00:00Z,1.0941,1.09438,1.0933,1.09383
EURUSD,H1,2025-03-19T07:00:00Z,1.09383,1.09383,1.09281,1.093
EURUSD,H1,2025-03-19T08:00:00Z,1.093,1.09363,1.09299,1.09312
EURUSD,H1,2025-03-19T09:00:00Z,1.09312,1.09325,1.09206,1.09208
EURUSD,H1,2025-03-19T10:00:00Z,1.09208,1.09232,1.08732,1.08928
EURUSD,H1,2025-03-19T11:00:00Z,1.08928,1.09105,1.08922,1.09073
EURUSD,H1,2025-03-19T12:00:00Z,1.09073,1.09103,1.08956,1.09025
EURUSD,H1,2025-03-19T13:00:00Z,1.09025,1.09044,1.08915,1.08999
EURUSD,H1,2025-03-19T14:00:00Z,1.08999,1.09132,1.08938,1.09084
EURUSD,H1,2025-03-19T15:00:00Z,1.09084,1.09177,1.08993,1.09013
EURUSD,H1,2025-03-19T16:00:00Z,1.09013,1.09039,1.08928,1.08945
EURUSD,H1,2025-03-19T17:00:00Z,1.08944,1.09007,1.08818,1.0884
